规则,药品名,拼音首字母,医保编码数,KP ID
药品区分性别使用,左炔诺孕酮胶囊,zgnytjn,2,31686
药品区分性别使用,左炔诺孕酮片,zgnytp,26,31687
药品区分性别使用,制霉菌素阴道泡腾片,zmjsydptp,1,31398
药品区分性别使用,珍母口服液,zmkfy,4,31675
药品区分性别使用,治糜康栓,zmks,4,31362
药品区分性别使用,制霉素阴道栓,zmsyds,10,31294
药品区分性别使用,增乳膏,zrg,1,31673
药品区分性别使用,增乳口服液,zrkfy,1,31674
药品区分性别使用,郑氏女金丹,zsnjd,3,31676
药品区分性别使用,注射用醋酸地加瑞克,zsycsdjrk,3,31295
药品区分性别使用,注射用缩宫素,zsysgs,7,31296
药品区分性别使用,注射用盐酸利托君,zsyysltj,5,31297
药品儿童专用,氨金黄敏颗粒,ajhmkl,15,32175
药品儿童专用,丁桂儿脐贴,dgeqt,7,32176
药品儿童专用,儿童感热清丸,etgrqw,4,32177
药品儿童专用,儿童回春颗粒,ethckl,8,32180
药品儿童专用,儿童回春丸,ethcw,1,32181
药品儿童专用,儿童咳颗粒,etkkl,1,32178
药品儿童专用,儿童咳液,etky,8,32179
药品儿童专用,儿童清肺口服液,etqfkfy,2,32078
药品儿童专用,儿童清肺丸,etqfw,5,32183
药品儿童专用,儿童清热口服液,etqrkfy,1,32184
药品儿童专用,儿童清咽解热口服液,etqyjrkfy,5,32079
药品儿童专用,儿童七珍丸,etqzw,2,32182
药品儿童专用,复方小儿退热栓,ffxetrs,14,32185
药品儿童专用,荆肤止痒颗粒,jfzykl,3,32082
药品儿童专用,健脾止泻宁颗粒,jpzxnkl,4,32080
药品儿童专用,减味小儿化痰散,jwxehts,2,32186
药品儿童专用,金振口服液,jzkfy,4,32081
药品儿童专用,枯草杆菌二联活菌颗粒,kcgjelhjkl,5,32187
药品儿童专用,牛黄抱龙丸,nhblw,9,32083
药品儿童专用,清宣止咳颗粒,qxzkkl,4,32084
药品儿童专用,山白消食合剂,sbxshj,2,32188
药品儿童专用,天黄猴枣散,thhzs,4,32085
药品儿童专用,太子金颗粒,tzjkl,2,32189
药品儿童专用,五粒回春丸,wlhcw,6,32086
药品儿童专用,小儿氨酚黄那敏颗粒,xeafhnmkl,716,32190
药品儿童专用,小儿氨酚黄那敏片,xeafhnmp,59,32191
药品儿童专用,小儿氨酚烷胺颗粒,xeafwakl,74,32192
药品儿童专用,小儿氨酚伪麻分散片,xeafwmfsp,2,32193
药品儿童专用,小儿氨咖黄敏颗粒,xeakhmkl,11,32194
药品儿童专用,小儿保安丸,xebaw,1,32090
药品儿童专用,小儿白贝止咳糖浆,xebbzktj,10,32195
药品儿童专用,小儿百部止咳糖浆,xebbzktj,9,32196
药品儿童专用,小儿布洛芬栓,xeblfs,16,32092
药品儿童专用,小儿百乐片,xeblp,1,32197
药品儿童专用,小儿百寿丸,xebsw,7,32088
药品儿童专用,小儿宝泰康颗粒,xebtkkl,14,32089
药品儿童专用,小儿百效片,xebxp,3,32198
药品儿童专用,小儿鼻炎片,xebyp,4,32091
药品儿童专用,小儿柴桂退热口服液,xecgtrkfy,5,32094
药品儿童专用,小儿柴桂退热颗粒,xecgtrkl,17,32093
药品儿童专用,小儿参术健脾丸,xecsjpw,13,32199
药品儿童专用,小儿肠胃康颗粒,xecwkkl,13,32095
药品儿童专用,小儿定喘口服液,xedckfy,5,32098
药品儿童专用,小儿导赤片,xedcp,11,32097
药品儿童专用,小儿大黄碳酸氢钠片,xedhtsqnp,1,32200
药品儿童专用,小儿对乙酰氨基酚片,xedyxajfp,5,32099
药品儿童专用,小儿多种维生素注射液(13),xedzwsszsy,1,32162
药品儿童专用,小儿酚氨咖敏颗粒,xefakmkl,24,32204
药品儿童专用,小儿肺闭宁片,xefbnp,7,32201
药品儿童专用,小儿复方氨酚烷胺片,xeffafwap,10,32208
药品儿童专用,小儿复方氨基酸注射液(18AA-Ⅱ),xeffajszsyaa,5,32163
药品儿童专用,小儿复方氨基酸注射液(19AA-Ⅰ),xeffajszsyaa,8,32165
药品儿童专用,小儿复方氨基酸注射液(18AA-I),xeffajszsyaai,21,32164
药品儿童专用,小儿复方磺胺二甲嘧啶散,xeffhaejmds,7,32209
药品儿童专用,小儿复方磺胺嘧啶颗粒,xeffhamdkl,1,32210
药品儿童专用,小儿复方磺胺嘧啶散,xeffhamds,1,32211
药品儿童专用,小儿复方鸡内金咀嚼片,xeffjnjjjp,4,32212
药品儿童专用,小儿复方鸡内金散,xeffjnjs,31,32213
药品儿童专用,小儿复方麻黄碱桔梗糖浆,xeffmhjjgtj,12,32214
药品儿童专用,小儿复方麝香草酚撒粉,xeffsxcfsf,3,32215
药品儿童专用,小儿肺咳颗粒,xefkkl,26,32100
药品儿童专用,小儿扶脾颗粒,xefpkl,2,32207
药品儿童专用,小儿敷脐止泻散,xefqzxs,4,32206
药品儿童专用,小儿肺热咳喘口服液,xefrkckfy,5,32102
药品儿童专用,小儿肺热咳喘颗粒,xefrkckl,29,32101
药品儿童专用,小儿肺热平胶囊,xefrpjn,2,32202
药品儿童专用,小儿风热清合剂(口服液),xefrqhjkfy,2,32205
药品儿童专用,小儿肺热清颗粒,xefrqkl,3,32103
药品儿童专用,小儿腹泻宁,xefxn,1,32166
药品儿童专用,小儿腹泻宁合剂,xefxnhj,2,32104
药品儿童专用,小儿腹泻宁(泡腾颗粒),xefxnptkl,1,32167
药品儿童专用,小儿腹泻宁糖浆,xefxntj,19,32105
药品儿童专用,小儿腹泻散,xefxs,5,32106
药品儿童专用,小儿腹泻贴,xefxt,3,32107
药品儿童专用,小儿肺炎散,xefys,7,32203
药品儿童专用,小儿疳积糖,xegjt,14,32217
药品儿童专用,小儿功劳止泻颗粒,xeglzxkl,1,32224
药品儿童专用,小儿感冒茶,xegmc,1,32218
药品儿童专用,小儿感冒口服液,xegmkfy,2,32219
药品儿童专用,小儿感冒颗粒,xegmkl,250,32108
药品儿童专用,小儿感冒宁合剂,xegmnhj,15,32220
药品儿童专用,小儿感冒宁颗粒,xegmnkl,5,32221
药品儿童专用,小儿感冒宁糖浆,xegmntj,4,32222
药品儿童专用,小儿感冒散,xegms,5,32223
药品儿童专用,小儿感冒舒颗粒,xegmskl,5,32109
药品儿童专用,小儿感冒退热糖浆,xegmtrtj,6,32110
药品儿童专用,小儿广朴止泻口服液,xegpzxkfy,1,32111
药品儿童专用,小儿肝炎颗粒,xegykl,11,32216
药品儿童专用,小儿回春丸,xehcw,14,32237
药品儿童专用,小儿回春丸(大蜜丸),xehcwdmw,4,32238
药品儿童专用,小儿化毒胶囊,xehdjn,1,32117
药品儿童专用,小儿化毒散,xehds,15,32118
药品儿童专用,小儿黄龙颗粒,xehlkl,4,32168
药品儿童专用,小儿葫芦散,xehls,4,32231
药品儿童专用,小儿琥珀丸,xehpw,2,32232
药品儿童专用,小儿化食口服液,xehskfy,6,32119
药品儿童专用,小儿化食丸,xehsw,11,32120
药品儿童专用,小儿化痰丸,xehtw,2,32233
药品儿童专用,小儿化痰止咳颗粒,xehtzkkl,172,32234
药品儿童专用,小儿化痰止咳糖浆,xehtzktj,21,32235
药品儿童专用,小儿和胃丸,xehww,1,32229
药品儿童专用,小儿和胃消食片,xehwxsp,1,32230
药品儿童专用,小儿化滞健脾丸,xehzjpw,2,32236
药品儿童专用,小儿惊安丸,xejaw,1,32256
药品儿童专用,小儿解表口服液,xejbkfy,6,32251
药品儿童专用,小儿解表颗粒,xejbkl,9,32250
药品儿童专用,小儿解表止咳口服液,xejbzkkfy,5,32252
药品儿童专用,小儿金丹,xejd,4,32121
药品儿童专用,小儿金丹片,xejdp,13,32122
药品儿童专用,小儿惊风片,xejfp,1,32257
药品儿童专用,小儿惊风七厘散,xejfqls,5,32258
药品儿童专用,小儿惊风散,xejfs,5,32259
药品儿童专用,小儿解感颗粒,xejgkl,9,32253
药品儿童专用,小儿解感片,xejgp,10,32254
药品儿童专用,小儿健脾化积口服液,xejphjkfy,3,32240
药品儿童专用,小儿健脾开胃合剂,xejpkwhj,3,32241
药品儿童专用,小儿健脾平肝颗粒,xejppgkl,2,32242
药品儿童专用,小儿健脾散,xejps,7,32243
药品儿童专用,小儿健脾贴膏,xejptg,5,32244
药品儿童专用,小儿健脾丸,xejpw,6,32245
药品儿童专用,小儿健脾养胃颗粒,xejpywkl,1,32246
药品儿童专用,小儿健脾止泻丸,xejpzxw,1,32247
药品儿童专用,小儿解热丸,xejrw,2,32255
药品儿童专用,小儿积散,xejs,1,32239
药品儿童专用,小儿健身片,xejsp,1,32248
药品儿童专用,小儿久嗽丸,xejsw,1,32260
药品儿童专用,小儿健胃糖浆,xejwtj,15,32249
药品儿童专用,小儿荆杏止咳颗粒,xejxzkkl,3,32169
药品儿童专用,小儿咳喘颗粒,xekckl,4,32112
药品儿童专用,小儿咳喘灵合剂,xekclhj,2,32113
药品儿童专用,小儿咳喘灵口服液,xekclkfy,224,32115
药品儿童专用,小儿咳喘灵颗粒,xekclkl,342,32114
药品儿童专用,小儿咳喘灵泡腾颗粒,xekclptkl,5,32225
药品儿童专用,小儿咳喘灵泡腾片,xekclptp,2,32226
药品儿童专用,小儿抗惊片,xekjp,1,32262
药品儿童专用,小儿康颗粒,xekkl,11,32261
药品儿童专用,小儿咳宁糖浆,xekntj,1,32227
药品儿童专用,小儿咳嗽宁糖浆,xeksntj,3,32116
药品儿童专用,小儿咳嗽糖浆,xekstj,9,32228
药品儿童专用,小儿抗痫胶囊,xekxjn,5,32263
药品儿童专用,小儿硫酸庆大霉素颗粒,xelsqdmskl,1,32266
药品儿童专用,小儿硫酸亚铁糖浆,xelsyttj,13,32267
药品儿童专用,小儿利湿止泻颗粒,xelszxkl,6,32264
药品儿童专用,小儿羚羊散,xelys,2,32265
药品儿童专用,小儿麻甘颗粒,xemgkl,82,32123
药品儿童专用,小儿磨积片,xemjp,3,32271
药品儿童专用,小儿明目丸,xemmw,1,32270
药品儿童专用,小儿美敏伪麻口服溶液,xemmwmkfry,1,32268
药品儿童专用,小儿秘通口服液,xemtkfy,6,32269
药品儿童专用,小儿牛黄清肺片,xenhqfp,5,32272
药品儿童专用,小儿牛黄清肺散,xenhqfs,13,32273
药品儿童专用,小儿牛黄清心散,xenhqxs,6,32124
药品儿童专用,小儿牛黄散,xenhs,8,32274
药品儿童专用,小儿脾健灵糖浆,xepjltj,1,32275
药品儿童专用,小儿葡磷泛三钙片,xeplfsgp,2,32276
药品儿童专用,小儿清毒糖浆,xeqdtj,2,32282
药品儿童专用,小儿清肺八味丸,xeqfbww,7,32283
药品儿童专用,小儿清肺化痰咀嚼片,xeqfhtjjp,3,32284
药品儿童专用,小儿清肺化痰口服液,xeqfhtkfy,9,32286
药品儿童专用,小儿清肺化痰颗粒,xeqfhtkl,10,32285
药品儿童专用,小儿清肺化痰泡腾片,xeqfhtptp,4,32287
药品儿童专用,小儿清肺颗粒,xeqfkl,5,32288
药品儿童专用,小儿脐风散,xeqfs,7,32280
药品儿童专用,小儿清肺散,xeqfs,2,32289
药品儿童专用,小儿清肺丸,xeqfw,2,32290
药品儿童专用,小儿清肺止咳片,xeqfzkp,11,32291
药品儿童专用,小儿清感灵片,xeqglp,8,32292
药品儿童专用,小儿清解颗粒,xeqjkl,13,32293
药品儿童专用,小儿启脾片,xeqpp,1,32281
药品儿童专用,小儿青翘颗粒,xeqqkl,6,32170
药品儿童专用,小儿清热感康口服液,xeqrgkkfy,2,32294
药品儿童专用,小儿清热感冒片,xeqrgmp,1,32171
药品儿童专用,小儿清热化痰栓,xeqrhts,3,32295
药品儿童专用,小儿清热利肺口服液,xeqrlfkfy,4,32128
药品儿童专用,小儿清热宁颗粒,xeqrnkl,16,32129
药品儿童专用,小儿清热宁颗粒(果味型),xeqrnklgwx,8,32296
药品儿童专用,小儿清热片,xeqrp,2,32297
药品儿童专用,小儿清热宣肺贴膏,xeqrxftg,5,32130
药品儿童专用,小儿清热止咳合剂,xeqrzkhj,9,32131
药品儿童专用,小儿清热止咳合剂(小儿清热止咳口服液),xeqrzkhjxeqrzkkfy,22,32132
药品儿童专用,小儿清热止咳口服液,xeqrzkkfy,98,32133
药品儿童专用,小儿清热止咳口服液(小儿清热止咳合剂),xeqrzkkfyxeqrzkhj,4,32134
药品儿童专用,小儿清热止咳颗粒,xeqrzkkl,10,32298
药品儿童专用,小儿清热止咳糖浆,xeqrzktj,6,32135
药品儿童专用,小儿清热止咳丸,xeqrzkw,5,32299
药品儿童专用,小儿七星茶口服液,xeqxckfy,5,32126
药品儿童专用,小儿七星茶颗粒,xeqxckl,76,32125
药品儿童专用,小儿七星茶糖浆,xeqxctj,7,32127
药品儿童专用,小儿清咽颗粒,xeqykl,54,32300
药品儿童专用,小儿奇应丸,xeqyw,4,32279
药品儿童专用,小儿七珍片,xeqzp,1,32277
药品儿童专用,小儿七珍丸,xeqzw,7,32278
药品儿童专用,小儿热咳口服液,xerkkfy,3,32136
药品儿童专用,小儿热咳清胶囊,xerkqjn,1,32301
药品儿童专用,小儿乳酸菌素片,xersjsp,9,32303
药品儿童专用,小儿热速清口服液,xersqkfy,9,32138
药品儿童专用,小儿热速清颗粒,xersqkl,21,32137
药品儿童专用,小儿热速清糖浆,xersqtj,13,32139
药品儿童专用,小儿鞣酸小檗碱片,xersxbjp,4,32302
药品儿童专用,小儿疏表丸,xesbw,1,32305
药品儿童专用,小儿暑感宁糖浆,xesgntj,2,32141
药品儿童专用,小儿双磺甲氧苄啶颗粒,xeshjybdkl,9,32306
药品儿童专用,小儿双金清热口服液,xesjqrkfy,5,32307
药品儿童专用,小儿双解止泻颗粒,xesjzxkl,2,32142
药品儿童专用,小儿石蔻散,xesks,1,32172
药品儿童专用,小儿双清颗粒,xesqkl,2,32143
药品儿童专用,小儿豉翘清热颗粒,xesqqrkl,9,32096
药品儿童专用,小儿豉翘清热糖浆,xesqqrtj,2,32161
药品儿童专用,小儿渗湿止泻散,xesszxs,2,32304
药品儿童专用,小儿四维葡钙颗粒,xeswpgkl,36,32308
药品儿童专用,小儿四维葡钙片,xeswpgp,2,32309
药品儿童专用,小儿生血糖浆,xesxtj,11,32140
药品儿童专用,小儿四症丸,xeszw,3,32310
药品儿童专用,小儿太极丸,xetjw,8,32311
药品儿童专用,小儿退热合剂,xetrhj,12,32145
药品儿童专用,小儿退热合剂(小儿退热口服液),xetrhjxetrkfy,15,32146
药品儿童专用,小儿退热口服液,xetrkfy,55,32147
药品儿童专用,小儿退热颗粒,xetrkl,3,32312
药品儿童专用,小儿碳酸钙D3颗粒,xetsgdkl,52,32144
药品儿童专用,小儿胃宝片,xewbp,1,32314
药品儿童专用,小儿胃宝丸,xewbw,2,32315
药品儿童专用,小儿伪麻滴剂,xewmdj,1,32313
药品儿童专用,小儿五维赖氨酸糖浆,xewwlastj,4,32316
药品儿童专用,小儿宣肺止咳颗粒,xexfzkkl,13,32154
药品儿童专用,小儿消积化虫散,xexjhcs,1,32323
药品儿童专用,小儿香橘丸,xexjw,1,32148
药品儿童专用,小儿消积止咳口服液,xexjzkkfy,4,32150
药品儿童专用,小儿消积止咳颗粒,xexjzkkl,2,32149
药品儿童专用,小儿消咳片,xexkp,16,32322
药品儿童专用,小儿泻痢片,xexlp,2,32328
药品儿童专用,小儿喜食咀嚼片,xexsjjp,2,32317
药品儿童专用,小儿消食咀嚼片,xexsjjp,4,32325
药品儿童专用,小儿消食健胃丸,xexsjww,2,32324
药品儿童专用,小儿消食颗粒,xexskl,24,32151
药品儿童专用,小儿喜食颗粒,xexskl,5,32318
药品儿童专用,小儿消食开胃颗粒,xexskwkl,1,32326
药品儿童专用,小儿消食片,xexsp,15,32152
药品儿童专用,小儿喜食片,xexsp,18,32320
药品儿童专用,小儿喜食泡腾片,xexsptp,1,32319
药品儿童专用,小儿喜食糖浆,xexstj,23,32321
药品儿童专用,小儿泻速停颗粒,xexstkl,18,32153
药品儿童专用,小儿泄泻停颗粒,xexxtkl,1,32327
药品儿童专用,小儿泻止散,xexzs,3,32329
药品儿童专用,小儿咽扁颗粒,xeybkl,155,32157
药品儿童专用,小儿厌食颗粒,xeyskl,2,32156
药品儿童专用,小儿盐酸赖氨酸颗粒,xeyslaskl,4,32330
药品儿童专用,小儿盐酸异丙嗪片,xeysybqp,4,32155
药品儿童专用,小儿珍贝散,xezbs,5,32334
药品儿童专用,小儿至宝丸,xezbw,11,32158
药品儿童专用,小儿紫贝宣肺糖浆,xezbxftj,5,32174
药品儿童专用,小儿珠黄散,xezhs,1,32348
药品儿童专用,小儿镇惊散,xezjs,1,32336
药品儿童专用,小儿镇惊丸,xezjw,2,32337
药品儿童专用,小儿止咳糖浆,xezktj,356,32338
药品儿童专用,小儿智力糖浆,xezltj,25,32347
药品儿童专用,小儿珠珀散(原名:珠珀猴枣散),xezpsymzphzs,4,32173
药品儿童专用,小儿止嗽金丹,xezsjd,9,32339
药品儿童专用,小儿增食颗粒,xezskl,4,32331
药品儿童专用,小儿增食片,xezsp,7,32332
药品儿童专用,小儿止嗽糖浆,xezstj,1,32340
药品儿童专用,小儿增食丸,xezsw,2,32333
药品儿童专用,小儿止嗽丸,xezsw,3,32341
药品儿童专用,小儿止泻安颗粒,xezxakl,5,32342
药品儿童专用,小儿止泻膏,xezxg,2,32343
药品儿童专用,小儿止泻灵颗粒,xezxlkl,20,32344
药品儿童专用,小儿治哮灵片,xezxlp,3,32346
药品儿童专用,小儿止泻贴,xezxt,1,32345
药品儿童专用,小儿珍珠镇惊丸,xezzzjw,1,32335
药品儿童专用,醒脾养儿颗粒,xpyekl,3,32159
药品儿童专用,消旋卡多曲颗粒,xxkdqkl,16,32087
药品儿童专用,猪肺磷脂注射液,zflzzsy,4,32160
药品限儿童使用,波生坦分散片,bstfsp,1,32355
药品限儿童使用,复方聚乙二醇(3350)电解质散,ffjyecdjzs,6,32354
药品限儿童使用,硫酸氢司美替尼胶囊,lsqsmtnjn,2,32357
药品限儿童使用,玛巴洛沙韦干混悬剂,mblswghxj,1,32356
药品限儿童使用,咪达唑仑口服溶液,mdzlkfry,2,32349
药品限儿童使用,孟鲁司特钠口溶膜,mlstnkrm,4,32359
药品限儿童使用,水合氯醛灌肠剂,shlqgcj,2,32351
药品限儿童使用,水合氯醛/糖浆组合包装,shlqtjzhbz,2,32350
药品限儿童使用,他克莫司颗粒,tkmskl,2,32352
药品限儿童使用,小儿法罗培南钠颗粒,xeflpnnkl,4,32353
药品限儿童使用,盐酸可乐定缓释片,yskldhsp,2,32358
