规则,药品名,拼音首字母,医保编码数,KP ID
药品区分性别使用,妇科白凤颗粒,fkbfkl,2,31497
药品区分性别使用,妇科白凤片,fkbfp,2,31499
药品区分性别使用,妇康宝合剂,fkbhj,7,31483
药品区分性别使用,妇康宝口服液,fkbkfy,18,31485
药品区分性别使用,妇康宝颗粒,fkbkl,9,31484
药品区分性别使用,妇科断红饮胶囊,fkdhyjn,2,31230
药品区分性别使用,妇科得生丸,fkdsw,1,31500
药品区分性别使用,妇科分清丸,fkfqw,10,31501
药品区分性别使用,妇科回生丸,fkhsw,3,31502
药品区分性别使用,妇可靖胶囊,fkjjn,7,31235
药品区分性别使用,妇康胶囊,fkjn,4,31486
药品区分性别使用,妇康口服液,fkkfy,2,31487
药品区分性别使用,妇康宁胶囊,fknjn,4,31488
药品区分性别使用,妇科宁坤丸,fknkw,2,31503
药品区分性别使用,妇康宁片,fknp,60,31489
药品区分性别使用,妇康片,fkp,31,31490
药品区分性别使用,妇科千金胶囊,fkqjjn,3,31231
药品区分性别使用,妇科千金片,fkqjp,4,31312
药品区分性别使用,妇康栓,fks,5,31491
药品区分性别使用,妇科十味胶囊,fkswjn,6,31504
药品区分性别使用,妇科十味片,fkswp,79,31232
药品区分性别使用,妇科调经滴丸,fktjdw,4,31311
药品区分性别使用,妇科调经胶囊,fktjjn,5,31227
药品区分性别使用,妇科调经颗粒,fktjkl,19,31228
药品区分性别使用,妇科调经片,fktjp,80,31229
药品区分性别使用,妇康丸,fkw,6,31492
药品区分性别使用,妇科万应膏,fkwyg,9,31505
药品区分性别使用,妇科养坤丸,fkykw,11,31506
药品区分性别使用,妇科养荣胶囊,fkyrjn,5,31507
药品区分性别使用,妇科养荣丸,fkyrw,10,31508
药品区分性别使用,妇科养荣丸(浓缩丸),fkyrwnsw,9,31509
药品区分性别使用,妇科止带胶囊,fkzdjn,8,31510
药品区分性别使用,妇科止带片,fkzdp,31,31511
药品区分性别使用,妇科止血灵,fkzxl,22,31512
药品区分性别使用,妇科止血灵胶囊,fkzxljn,11,31513
药品区分性别使用,妇科止血灵片,fkzxlp,3,31514
药品区分性别使用,妇科止痒胶囊,fkzyjn,2,31515
药品区分性别使用,妇科止痒片,fkzyp,8,31516
药品区分性别使用,妇科再造胶囊,fkzzjn,3,31233
药品区分性别使用,妇科再造丸,fkzzw,6,31234
药品区分性别使用,妇乐胶囊,fljn,6,31313
药品区分性别使用,妇良胶囊,fljn,3,31518
药品区分性别使用,妇乐颗粒,flkl,21,31314
药品区分性别使用,妇乐片,flp,6,31236
药品区分性别使用,妇良片,flp,5,31519
药品区分性别使用,妇乐糖浆,fltj,2,31517
药品区分性别使用,妇宁胶囊,fnjn,5,31520
药品区分性别使用,妇宁康胶囊,fnkjn,2,31521
药品区分性别使用,妇宁颗粒,fnkl,5,31523
药品区分性别使用,妇宁康片,fnkp,10,31522
药品区分性别使用,妇宁栓,fns,12,31524
药品区分性别使用,妇女痛经颗粒,fntjkl,3,31237
药品区分性别使用,妇女痛经丸,fntjw,11,31315
药品区分性别使用,妇宁丸,fnw,2,31525
药品区分性别使用,妇女养血丸,fnyxw,2,31526
药品区分性别使用,妇平胶囊,fpjn,2,31527
药品区分性别使用,妇舒丸,fsw,13,31528
药品区分性别使用,妇痛宁肠溶软胶囊,ftncrrjn,1,31529
药品区分性别使用,妇血安片,fxap,3,31530
药品区分性别使用,妇血康颗粒,fxkkl,5,31531
药品区分性别使用,妇炎净胶囊,fyjjn,6,31532
药品区分性别使用,妇炎净片,fyjp,14,31533
药品区分性别使用,妇炎康复咀嚼片,fykfjjp,1,31536
药品区分性别使用,妇炎康复胶囊,fykfjn,15,31535
药品区分性别使用,妇炎康复颗粒,fykfkl,2,31537
药品区分性别使用,妇炎康复片,fykfp,47,31538
药品区分性别使用,妇炎康分散片,fykfsp,11,31534
药品区分性别使用,妇月康胶囊,fykjn,36,31546
药品区分性别使用,妇月康颗粒,fykkl,2,31547
药品区分性别使用,妇炎康片,fykp,62,31539
药品区分性别使用,妇月康片,fykp,3,31548
药品区分性别使用,妇炎康软胶囊,fykrjn,13,31540
药品区分性别使用,妇炎康丸,fykw,8,31541
药品区分性别使用,妇炎灵胶囊,fyljn,10,31542
药品区分性别使用,妇炎灵栓,fyls,3,31543
药品区分性别使用,妇炎平栓,fyps,4,31238
药品区分性别使用,妇炎舒胶囊,fysjn,4,31239
药品区分性别使用,妇炎舒片,fysp,10,31240
药品区分性别使用,妇炎泰颗粒,fytkl,7,31544
药品区分性别使用,妇炎消胶囊,fyxjn,4,31241
药品区分性别使用,妇炎消口服液,fyxkfy,6,31545
药品区分性别使用,炔雌醇环丙孕酮片,gcchbytp,5,31265
药品区分性别使用,宫颈癌片,gjap,4,31367
药品区分性别使用,宫颈癌栓,gjas,4,31368
药品区分性别使用,固经丸,gjw,6,31567
药品区分性别使用,宫颈炎康栓,gjyks,9,31242
药品区分性别使用,宫瘤宁胶囊,glnjn,11,31320
药品区分性别使用,宫瘤宁颗粒,glnkl,1,31321
药品区分性别使用,宫瘤宁片,glnp,5,31322
药品区分性别使用,宫瘤清胶囊,glqjn,4,31323
药品区分性别使用,宫瘤清颗粒,glqkl,5,31324
药品区分性别使用,宫瘤清片,glqp,8,31325
药品区分性别使用,宫瘤消胶囊,glxjn,2,31326
药品区分性别使用,宫宁颗粒,gnkl,1,31559
药品区分性别使用,炔诺酮片,gntp,3,31354
药品区分性别使用,固肾安胎丸,gsatw,2,31568
药品区分性别使用,归芍调经胶囊,gstjjn,6,31569
药品区分性别使用,归芍调经片,gstjp,1,31570
药品区分性别使用,睾丸片,gwp,8,31558
药品区分性别使用,宫血宁胶囊,gxnjn,3,31243
药品区分性别使用,宫血停颗粒,gxtkl,4,31244
药品区分性别使用,宫炎康胶囊,gykjn,2,31560
药品区分性别使用,宫炎康颗粒,gykkl,75,31561
药品区分性别使用,宫炎平滴丸,gypdw,4,31562
药品区分性别使用,宫炎平分散片,gypfsp,8,31563
药品区分性别使用,宫炎平胶囊,gypjn,34,31245
药品区分性别使用,宫炎平片,gypp,11,31327
药品区分性别使用,宫月舒胶囊,gysjn,1,31564
药品区分性别使用,黄精赞育胶囊,hjzyjn,3,31573
