耗材代码,一级分类,二级分类,三级分类,医保通用名分类,耗材材质,规格（特征、参数）,医保通用名编号,医保通用名,耗材企业
C0101020021502208752,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,常州乐奥医疗科技股份有限公司,,
C0101020021502210872,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,上海英诺伟医疗器械股份有限公司,,
C0101020021502211325,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,波科国际医疗贸易（上海）有限公 司,,
C0101020021502211889,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,苏州市倍咏医疗科技有限公司,,
C0101020021502212518,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,苏州市美新迪斯医疗科技有限公司,,
C0101020021502214554,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,深圳市美好创亿医疗科技股份有限 公司,,
C0101020021502218717,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,东莞天天向上医疗科技有限公司,,
C0101020021502221285,01-非血管介入治疗类材料,01-呼吸介入材料,02-气道球囊扩张导管,002-球囊类,15-聚合物,022-多级,002001,气道球囊扩张导管,金傅（北京）医疗科技有限公司,,
C0102010021502311323,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,023-单级/带导丝,002002,贲门球囊扩张导管,常州市久虹医疗器械有限公司,,
C0102010021502311325,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,023-单级/带导丝,002002,贲门球囊扩张导管,波科国际医疗贸易（上海）有限公 司,,
C0102010021502400841,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,苏州法兰克曼医疗器械有限公司,,
C0102010021502402277,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,江苏常美医疗器械有限公司,,
C0102010021502403089,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,库克（中国）医疗贸易有限公司,,
C0102010021502404937,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,南微医学科技股份有限公司,,
C0102010021502408041,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,江苏唯德康医疗科技有限公司,,
C0102010021502408752,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊扩张导管,002-球囊类,15-聚合物,024-单级/不带导丝,002002,贲门球囊扩张导管,常州乐奥医疗科技股份有限公司,,
